행정동,20대_매출_억(2024),20대_매출비중(%),20대_성장률_23v24(%),매출규모_순위,비중_순위,성장률_순위
수유3동,555.2,15.25,-16.6,35,44,304
숭인1동,9.9,6.59,-15.9,404,215,294
숭인2동,112.6,9.41,-15.7,192,110,289
시흥1동,166.0,4.84,-15.1,136,321,281
시흥2동,6.8,3.49,14.8,411,386,8
시흥3동,21.4,4.88,-19.2,369,317,352
시흥4동,28.9,5.64,-17.5,346,264,321
시흥5동,58.9,5.37,-24.3,277,281,390
신길1동,95.4,7.55,-12.3,211,171,221
신길3동,37.7,4.57,-7.1,325,332,113
신길4동,18.9,5.71,9.7,382,260,17
신길5동,12.6,2.61,-23.2,398,407,382
신길6동,94.7,6.91,-14.6,212,193,264
신길7동,27.4,7.71,-25.0,348,165,395
신내1동,76.4,5.25,-19.8,240,291,360
신내2동,66.2,5.01,-8.0,261,308,129
신당5동,103.7,9.16,-5.8,201,120,96
신당동,273.8,9.42,9.1,84,109,19
신대방1동,89.2,11.83,-0.9,223,70,46
신대방2동,151.3,9.61,-12.9,148,103,231
신도림동,121.9,9.19,11.7,180,118,12
신림동,562.6,20.87,-19.3,34,18,355
신사1동,77.2,8.24,-11.9,239,137,208
신사2동,19.6,4.43,-4.5,378,341,77
신사동,1799.0,15.28,-13.8,8,41,248
신수동,36.1,5.64,-15.1,328,264,281
신원동,57.8,6.98,-19.2,281,191,352
신월1동,50.6,4.04,-19.1,293,358,350
신월2동,16.4,2.68,-23.5,389,405,385
신월3동,19.1,4.53,-30.6,380,335,410
신월4동,38.2,5.23,-13.8,324,295,248
신월5동,33.3,5.26,-11.5,334,289,200
신월6동,31.7,3.84,-19.3,338,372,355
신월7동,30.5,4.86,-20.0,343,320,363
신정1동,72.9,5.3,-12.3,249,286,221
신정2동,50.3,3.88,0.7,294,370,37
신정3동,101.6,6.48,-10.0,206,219,167
신정4동,253.1,7.66,-14.8,97,167,268
신정6동,4.5,1.19,-15.7,419,423,289
신정7동,65.1,3.84,-2.8,265,372,63
신촌동,1515.6,29.39,-11.9,9,6,208
쌍문1동,43.8,8.65,-15.0,312,132,276
쌍문2동,66.2,6.17,3.5,261,237,27
쌍문3동,84.1,6.77,-23.4,228,204,383
쌍문4동,19.8,3.46,-15.1,376,388,281
아현동,106.1,6.9,-20.5,196,194,365
안암동,468.8,29.3,-8.8,48,7,146
암사1동,78.6,5.32,-7.4,237,284,120
암사2동,77.3,7.93,-4.1,238,154,74
암사3동,20.0,2.68,-14.2,375,405,255
압구정동,1827.7,12.98,-11.0,7,58,187
약수동,85.4,8.1,-13.6,226,144,242
양재1동,259.8,5.23,-12.4,92,295,224
양재2동,324.4,5.86,-16.4,68,249,302
양평1동,80.8,6.95,-15.7,233,192,289
양평2동,117.6,6.26,-5.1,188,231,89
여의동,1157.5,8.26,-11.3,16,135,197
역삼1동,3604.9,17.18,-10.6,2,29,182
역삼2동,305.8,8.01,-15.8,75,147,292
역촌동,119.5,7.99,-12.2,183,150,218
연남동,520.8,34.84,-5.6,40,3,94
연희동,295.5,11.83,-7.2,77,70,116
염리동,78.9,9.96,-10.5,236,96,179
염창동,145.1,6.31,-14.8,153,226,268
영등포동,1395.8,12.43,-11.2,13,63,193
영등포본동,403.5,16.08,-18.8,53,37,342
오금동,129.6,4.38,-22.2,172,343,376
오류1동,168.1,11.84,-8.7,134,69,142
오류2동,42.6,4.82,-16.8,315,323,312
오륜동,24.2,10.63,-12.6,364,83,229
옥수동,22.3,4.98,-5.9,367,310,98
왕십리2동,48.1,9.16,-7.4,298,120,120
왕십리도선동,191.9,11.57,2.8,124,74,31
용강동,126.9,3.57,-13.3,173,380,237
용답동,119.3,8.84,-10.1,185,127,171
용문동,44.5,3.89,-12.0,307,369,212
용산2가동,129.9,23.55,18.7,171,14,6
용신동,208.7,4.6,-8.9,112,329,149
