코드,주말_총인구,주말_20대인구,평일_총인구,평일_20대인구,주말집중도,20대주말집중도,행정동,구역유형
11260660,10668.906196634614,1333.6805955128204,10252.318318118687,1230.8860529040405,1.040633529470081,1.083512639018255,망우3동,주거형
11260680,32985.248736378206,3409.262522916666,32349.316007891415,3366.452622790404,1.019658305243043,1.012716620408214,신내1동,주거형
11260690,15756.257276121796,1623.1478338141026,15532.531621085858,1582.4665936237375,1.0144036825736908,1.0257074875098677,신내2동,주거형
11290525,19838.788169391028,2897.3419761217947,19600.746321654042,2777.307833143939,1.012144529796501,1.0432196033674725,성북동,주거형
11290555,24423.948173557692,5091.785090064102,24896.04632348485,5199.088125820707,0.9810372239915934,0.9793611815841905,삼선동,주거형
11290575,23865.476031089744,6612.451459615385,23637.310756439394,6487.379037878788,1.00965275944465,1.0192793454808666,동선동,주거형
11290580,11553.445436858976,1337.3585764423078,11262.571230113635,1267.4633525252525,1.0258266252707557,1.0551457553212866,돈암1동,주거형
11290590,14141.162160897436,1578.539799198718,13358.475474305555,1491.8229454545453,1.058591018720463,1.0581281136668337,돈암2동,주거형
11290600,20028.123448878203,7782.674147596154,24539.016297474747,9835.975248169192,0.8161746667464926,0.7912458044305035,안암동,혼합형
11290610,14973.366375961537,2762.3300221153845,14925.40505195707,2663.1604050505052,1.0032134018365002,1.03723756814528,보문동,주거형
11290620,13380.953671474359,1446.9750753205128,12459.917248800504,1338.2444535353534,1.0739199470014555,1.0812486997408557,정릉1동,주거형
11290630,20648.5108,2704.9008846153847,19521.00597506313,2565.321915214646,1.057758541049431,1.0544099235939595,정릉2동,주거형
11290640,13727.177800961537,3955.688439903846,15058.524254671716,4907.167553977273,0.9115885174938609,0.8061042131519942,정릉3동,혼합형
11290650,18228.185379326922,2363.6650618589742,17042.122690088385,2456.24496635101,1.0695959482751727,0.9623083585878764,정릉4동,주거형
11290660,35828.0225650641,3361.269337019231,34617.5162145202,3375.3532040404043,1.0349680301452755,0.9958274390353239,길음1동,주거형
11290685,20208.442437980768,2211.4920285256408,18258.64232361111,2008.0137380050505,1.106787792860605,1.1013331167359166,길음2동,상권형
11290705,37617.82823733974,6430.72408301282,36609.0402875,6347.183438510101,1.027555705965452,1.0131618449840059,종암동,주거형
11290715,25571.62247195513,3103.624345192308,26337.340623106058,3551.221650631313,0.9709265197990735,0.8739596258770741,월곡1동,주거형
11290725,21515.80170625,3581.5140357371793,21455.799181502523,3722.561554924242,1.0027965644271692,0.9621100908323508,월곡2동,주거형
11290760,22178.24073365385,2746.691582852564,20845.27840530303,2497.403965909091,1.0639455277321561,1.0998186998765052,장위1동,주거형
11290770,10747.004630929487,1477.7923647435896,10445.337620580807,1467.5834769570708,1.0288805418557554,1.0069562569671922,장위2동,주거형
11290780,7422.431807211539,1004.1110086538462,7358.10676729798,1000.6870125631314,1.008742063950396,1.003421645377354,장위3동,주거형
11290810,27318.991387019232,4062.595437820513,26648.856149431816,3973.2466575757576,1.0251468668609893,1.0224875996747886,석관동,주거형
11305534,22479.28165048077,2686.576018269231,21476.13945290404,2487.120815340909,1.0467096146296015,1.0801952207942833,삼양동,주거형
11305535,21266.81124022436,3887.7714979166667,21129.79928364899,3736.7449512626263,1.0064842999564787,1.0404166055280304,미아동,주거형
11305545,34034.17903349359,4738.930879647436,33044.0740895202,4389.366102083333,1.029963161966381,1.0796390115188133,송중동,주거형
11305555,25904.103843910256,2956.9789213141025,25547.949908901515,2762.062489015151,1.0139406072220554,1.0705691609346795,송천동,주거형
11305575,19047.879480128206,1662.9702844551282,18373.04635385101,1559.802868560606,1.0367295174289783,1.066141316940727,삼각산동,주거형
11305645,19530.426053685896,2524.7713701923076,16907.411321464646,2300.5697244949492,1.155139937294317,1.0974548362130507,우이동,상권형
11305660,27401.504141666665,3471.562757692308,26246.054968434342,3293.4888108585856,1.0440237275515105,1.0540684839270185,인수동,주거형
11320511,18608.912282852565,2360.7538150641026,17976.18415909091,2203.400580239899,1.0351981331611844,1.071413812011918,창1동,주거형
