도착_행정동코드,연도,분기,연도분기,연령대,HE_이동인구,WE_이동인구,EE_이동인구,합계_이동인구
1101054,2022,2,2022Q2,40,29428.34,4562.5,47822.88,81813.72
1101054,2022,2,2022Q2,50,32696.34,4767.9,48465.75,85929.98999999999
1101054,2022,2,2022Q2,60,28405.87,3221.2,43567.55,75194.62
1101054,2022,2,2022Q2,70,11902.05,1030.89,14725.46,27658.399999999998
1101054,2022,2,2022Q2,80,5723.12,468.44,6046.77,12238.33
1101054,2022,3,2022Q3,0,9603.49,419.85,20804.829999999998,30828.17
1101054,2022,3,2022Q3,10,10237.0,744.4,17043.57,28024.97
1101054,2022,3,2022Q3,20,7670.3099999999995,845.17,42947.26,51462.740000000005
1101054,2022,3,2022Q3,30,13441.4,1812.73,40135.96,55390.09
1101054,2022,3,2022Q3,40,25877.739999999998,3736.21,42706.24,72320.19
1101054,2022,3,2022Q3,50,24126.14,3788.89,40702.48,68617.51000000001
1101054,2022,3,2022Q3,60,18404.74,2477.37,31926.32,52808.43
1101054,2022,3,2022Q3,70,7836.79,856.8,11679.03,20372.620000000003
1101054,2022,3,2022Q3,80,4425.07,133.39,4889.96,9448.42
1101054,2022,4,2022Q4,0,9416.22,183.69,20116.43,29716.34
1101054,2022,4,2022Q4,10,11647.65,868.15,19758.670000000002,32274.47
1101054,2022,4,2022Q4,20,11800.58,909.66,54380.54,67090.78
1101054,2022,4,2022Q4,30,15421.41,1928.72,47466.58,64816.71000000001
1101054,2022,4,2022Q4,40,28597.62,4308.2,47886.5,80792.32
1101054,2022,4,2022Q4,50,29197.38,4353.88,51126.07,84677.33
1101054,2022,4,2022Q4,60,22856.72,2847.9,43564.08,69268.70000000001
1101054,2022,4,2022Q4,70,9520.45,815.02,14713.23,25048.7
1101054,2022,4,2022Q4,80,4902.6,267.18,5727.56,10897.34
1101054,2023,1,2023Q1,0,7972.74,299.72,18327.6,26600.059999999998
