period,group,ratio
2021-02-01,낙성대,8.68622
2021-03-01,낙성대,10.20264
2021-04-01,낙성대,9.5216
2021-05-01,낙성대,10.04475
2021-06-01,낙성대,9.12855
2021-07-01,낙성대,8.09352
2021-08-01,낙성대,8.56864
2021-09-01,낙성대,8.1426
2021-10-01,낙성대,8.95542
2021-11-01,낙성대,8.87648
2021-12-01,낙성대,9.19058
2022-01-01,낙성대,9.08198
2022-02-01,낙성대,8.16662
2022-03-01,낙성대,9.46375
2022-04-01,낙성대,9.91736
2022-05-01,낙성대,10.89558
2022-06-01,낙성대,10.93714
2022-07-01,낙성대,10.38642
2022-08-01,낙성대,11.05764
2022-09-01,낙성대,9.91903
2022-10-01,낙성대,10.68319
2022-11-01,낙성대,9.72689
2022-12-01,낙성대,9.22817
2023-01-01,낙성대,9.01745
2023-02-01,낙성대,9.53329
2023-03-01,낙성대,9.8405
2023-04-01,낙성대,9.00158
2023-05-01,낙성대,9.12333
2023-06-01,낙성대,8.40366
2023-07-01,낙성대,9.73128
2023-08-01,낙성대,9.88248
2023-09-01,낙성대,8.45608
2023-10-01,낙성대,9.47732
2023-11-01,낙성대,9.01995
2023-12-01,낙성대,9.14171
2024-01-01,낙성대,9.49946
2024-02-01,낙성대,9.1154
2024-03-01,낙성대,9.21919
2024-04-01,낙성대,8.26791
2024-05-01,낙성대,8.12777
2024-06-01,낙성대,7.41102
2024-07-01,낙성대,7.81326
2024-08-01,낙성대,8.99239
2024-09-01,낙성대,7.1673
2024-10-01,낙성대,8.07828
2024-11-01,낙성대,7.53946
2024-12-01,낙성대,8.32095
2020-01-01,방배,11.53005
2020-02-01,방배,12.38401
2020-03-01,방배,10.34277
2020-04-01,방배,23.4285
2020-05-01,방배,12.45752
2020-06-01,방배,11.34981
2020-07-01,방배,12.06009
2020-08-01,방배,10.65332
2020-09-01,방배,14.83374
2020-10-01,방배,12.04318
2020-11-01,방배,12.14279
2020-12-01,방배,10.35217
2021-01-01,방배,10.93589
2021-02-01,방배,12.33681
2021-03-01,방배,12.17287
2021-04-01,방배,10.80306
2021-05-01,방배,14.37596
2021-06-01,방배,10.6433
2021-07-01,방배,10.07086
2021-08-01,방배,10.33358
2021-09-01,방배,10.05269
2021-10-01,방배,10.69697
2021-11-01,방배,10.575
2021-12-01,방배,9.80166
2022-01-01,방배,9.7601
2022-02-01,방배,8.74198
2022-03-01,방배,10.46536
2022-04-01,방배,10.4829
2022-05-01,방배,12.55255
2022-06-01,방배,11.02381
2022-07-01,방배,13.00929
2022-08-01,방배,12.65592
2022-09-01,방배,11.33248
2022-10-01,방배,11.93124
2022-11-01,방배,11.54634
2022-12-01,방배,10.08673
2023-01-01,방배,10.13852
2023-02-01,방배,11.56785
2023-03-01,방배,10.55642
2023-04-01,방배,9.56253
2023-05-01,방배,10.03911
2023-06-01,방배,9.37979
2023-07-01,방배,19.12047
2023-08-01,방배,9.67447
2023-09-01,방배,9.59866
2023-10-01,방배,9.61098
2023-11-01,방배,9.08386
2023-12-01,방배,8.76892
2024-01-01,방배,9.44391
2024-02-01,방배,8.17978
2024-03-01,방배,9.12939
2024-04-01,방배,9.42114
2024-05-01,방배,9.14422
2024-06-01,방배,8.89068
2024-07-01,방배,11.08688
2024-08-01,방배,9.36225
2024-09-01,방배,8.22154
2024-10-01,방배,11.47408
