period,group,ratio,anchor_ratio,adjusted_ratio
2020-06-01,신림,19.77947,,
2020-07-01,신림,21.78678,,
2020-08-01,신림,19.84636,,
2020-09-01,신림,16.19498,,
2020-10-01,신림,20.38058,,
2020-11-01,신림,19.24764,,
2020-12-01,신림,11.57954,,
2021-01-01,신림,14.28365,,
2021-02-01,신림,18.09281,,
2021-03-01,신림,20.19221,,
2021-04-01,신림,20.68354,,
2021-05-01,신림,24.54219,,
2021-06-01,신림,18.95458,,
2021-07-01,신림,17.91103,,
2021-08-01,신림,17.25083,,
2021-09-01,신림,16.42865,,
2021-10-01,신림,17.71486,,
2021-11-01,신림,17.92093,,
2021-12-01,신림,17.82585,,
2022-01-01,신림,6.12362,13.52126,45.29
2022-02-01,신림,5.53914,11.60631,47.73
2022-03-01,신림,6.06787,9.61744,63.09
2022-04-01,신림,6.15978,7.20449,85.5
2022-05-01,신림,7.4785,10.56803,70.77
2022-06-01,신림,6.8438,13.10463,52.22
2022-07-01,신림,6.7304,13.30983,50.57
2022-08-01,신림,9.11994,24.57263,37.11
2022-09-01,신림,6.49124,11.88545,54.62
2022-10-01,신림,6.37422,12.16849,52.38
2022-11-01,신림,6.4591,11.06362,58.38
2022-12-01,신림,6.24777,12.94763,48.25
2023-01-01,신림,6.4139,12.4425,51.55
2023-02-01,신림,5.98591,10.42811,57.4
2023-03-01,신림,6.09087,10.79624,56.42
2023-04-01,신림,6.01102,11.09697,54.17
2023-05-01,신림,6.92013,22.22307,31.14
2023-06-01,신림,5.88406,11.7625,50.02
2023-07-01,신림,100.0,16.50774,605.78
2023-08-01,신림,30.75773,14.98302,205.28
2023-09-01,신림,5.57128,12.22414,45.58
2023-10-01,신림,7.32261,12.8723,56.89
2023-11-01,신림,5.49625,14.54418,37.79
2023-12-01,신림,5.50097,15.42547,35.66
2024-01-01,신림,5.67936,14.06366,40.38
2024-02-01,신림,5.61668,12.93166,43.43
2024-03-01,신림,5.52026,12.11918,45.55
2024-04-01,신림,5.65575,11.8761,47.62
2024-05-01,신림,5.36457,12.49001,42.95
2024-06-01,신림,5.21672,12.20114,42.76
2024-07-01,신림,5.69663,16.73806,34.03
2024-08-01,신림,8.76377,12.33523,71.05
2024-09-01,신림,4.92021,11.73177,41.94
2024-10-01,신림,5.1442,11.86586,43.35
2024-11-01,신림,5.15304,12.38133,41.62
2024-12-01,신림,5.16167,12.52567,41.21
2020-01-01,신월,7.92965,,
2020-02-01,신월,9.41928,,
2020-03-01,신월,5.76259,,
2020-04-01,신월,6.21145,,
2020-05-01,신월,6.36331,,
2020-06-01,신월,6.83912,,
2020-07-01,신월,5.86314,,
2020-08-01,신월,7.10761,,
2020-09-01,신월,5.477,,
2020-10-01,신월,5.26553,,
2020-11-01,신월,5.39044,,
2020-12-01,신월,5.14476,,
2021-01-01,신월,6.17672,,
2021-02-01,신월,5.11936,,
2021-03-01,신월,6.00671,,
2021-04-01,신월,6.16687,,
2021-05-01,신월,5.50965,,
2021-06-01,신월,5.19866,,
2021-07-01,신월,5.59673,,
2021-08-01,신월,5.34016,,
2021-09-01,신월,5.19659,,
2021-10-01,신월,5.15253,,
2021-11-01,신월,5.49462,,
2021-12-01,신월,5.13387,,
2022-01-01,신월,5.24971,55.02571,9.54
2022-02-01,신월,5.34454,47.23269,11.32
2022-03-01,신월,5.25379,39.13882,13.42
2022-04-01,신월,5.07803,29.31916,17.32
2022-05-01,신월,5.22314,43.00733,12.14
2022-06-01,신월,4.76083,53.33017,8.93
2022-07-01,신월,4.86138,54.16527,8.98
2022-08-01,신월,5.65438,100.0,5.65
2022-09-01,신월,4.83032,48.36863,9.99
2022-10-01,신월,4.80538,49.52052,9.7
2022-11-01,신월,4.67172,45.02415,10.38
2022-12-01,신월,4.60305,52.69127,8.74
2023-01-01,신월,4.92025,50.63562,9.72
2023-02-01,신월,4.57484,42.43792,10.78
2023-03-01,신월,5.32737,43.93603,12.13
2023-04-01,신월,4.80743,45.15986,10.65
2023-05-01,신월,4.88019,90.43827,5.4
2023-06-01,신월,5.37601,47.86831,11.23
2023-07-01,신월,4.92474,67.17938,7.33
2023-08-01,신월,4.78495,60.9744,7.85
2023-09-01,신월,4.61286,49.74697,9.27
2023-10-01,신월,5.01426,52.3847,9.57
2023-11-01,신월,4.52457,59.18852,7.64
2023-12-01,신월,4.28871,62.77499,6.83
2024-01-01,신월,4.81192,57.23301,8.41
2024-02-01,신월,4.33776,52.62628,8.24
2024-03-01,신월,4.71464,49.31982,9.56
2024-04-01,신월,4.78454,48.33062,9.9
2024-05-01,신월,4.42401,50.82896,8.7
2024-06-01,신월,4.13134,49.65337,8.32
2024-07-01,신월,4.55032,68.11667,6.68
2024-08-01,신월,4.6006,50.19906,9.16
2024-09-01,신월,4.21105,47.74323,8.82
2024-10-01,신월,3.98541,48.28892,8.25
2024-11-01,신월,4.14197,50.38668,8.22
2024-12-01,신월,3.6302,50.97407,7.12
2020-01-01,연희동,13.63523,,
2020-02-01,연희동,16.23197,,
2020-03-01,연희동,16.84202,,
2020-04-01,연희동,16.15785,,
2020-05-01,연희동,14.6252,,
2020-06-01,연희동,13.29211,,
2020-07-01,연희동,15.61155,,
2020-08-01,연희동,14.81646,,
2020-09-01,연희동,11.0644,,
2020-10-01,연희동,14.92893,,
2020-11-01,연희동,14.02085,,
2020-12-01,연희동,10.71609,,
2021-01-01,연희동,12.6722,,
2021-02-01,연희동,15.43636,,
2021-03-01,연희동,15.88781,,
2021-04-01,연희동,17.31887,,
2021-05-01,연희동,16.3517,,
2021-06-01,연희동,15.34566,,
2021-07-01,연희동,11.81543,,
2021-08-01,연희동,13.60413,,
2021-09-01,연희동,12.94328,,
2021-10-01,연희동,15.02482,,
2021-11-01,연희동,17.2178,,
2021-12-01,연희동,15.91839,,
