행정동,연도,분기,나이,이동인구
여의동,2021,1,75,92164.91
여의동,2021,1,80,110539.86
여의동,2021,2,0,186942.4
여의동,2021,2,10,126573.94
여의동,2021,2,15,264483.62
여의동,2021,2,20,311934.85
여의동,2021,2,25,558725.69
여의동,2021,2,30,446249.17
여의동,2021,2,35,452712.59
여의동,2021,2,40,434915.97
여의동,2021,2,45,392923.19
여의동,2021,2,50,361422.75
여의동,2021,2,55,328602.52999999997
여의동,2021,2,60,312075.66
여의동,2021,2,65,228221.41
여의동,2021,2,70,153464.35
여의동,2021,2,75,123239.12
여의동,2021,2,80,160736.71
여의동,2021,3,0,133578.14
여의동,2021,3,10,103988.97
여의동,2021,3,15,192684.02
여의동,2021,3,20,220569.93
여의동,2021,3,25,381675.37
여의동,2021,3,30,335812.41
여의동,2021,3,35,345487.51
여의동,2021,3,40,353326.12
여의동,2021,3,45,321148.74
여의동,2021,3,50,299315.56
여의동,2021,3,55,259419.91
여의동,2021,3,60,243574.08
여의동,2021,3,65,175821.02
여의동,2021,3,70,115008.74
여의동,2021,3,75,94934.98
여의동,2021,3,80,132498.62
여의동,2021,4,0,149989.0
여의동,2021,4,10,132669.74
여의동,2021,4,15,239605.86
여의동,2021,4,20,230890.51
여의동,2021,4,25,446494.2
여의동,2021,4,30,415436.05
여의동,2021,4,35,415080.88
여의동,2021,4,40,423707.98
여의동,2021,4,45,381757.02999999997
여의동,2021,4,50,366306.83
여의동,2021,4,55,331981.57
여의동,2021,4,60,319985.95
여의동,2021,4,65,238307.76
여의동,2021,4,70,154306.65
여의동,2021,4,75,130675.02
여의동,2021,4,80,169529.28
여의동,2022,1,0,140337.84
여의동,2022,1,10,113776.84
여의동,2022,1,15,197456.65
여의동,2022,1,20,184120.83
여의동,2022,1,25,367916.77
여의동,2022,1,30,352058.97000000003
여의동,2022,1,35,351048.56
여의동,2022,1,40,365452.52999999997
여의동,2022,1,45,337134.6
여의동,2022,1,50,325395.5
여의동,2022,1,55,286356.87
여의동,2022,1,60,283254.05
여의동,2022,1,65,217953.9
여의동,2022,1,70,139646.4
여의동,2022,1,75,124676.49
여의동,2022,1,80,151005.53
여의동,2022,2,0,331397.36
여의동,2022,2,10,217586.46
여의동,2022,2,15,407652.23
여의동,2022,2,20,431725.7
여의동,2022,2,25,703371.42
여의동,2022,2,30,595032.79
여의동,2022,2,35,554003.21
여의동,2022,2,40,567225.52
여의동,2022,2,45,467298.93
여의동,2022,2,50,451495.56
여의동,2022,2,55,400798.55
여의동,2022,2,60,408188.72
여의동,2022,2,65,326402.91
여의동,2022,2,70,208177.56
여의동,2022,2,75,185007.64
여의동,2022,2,80,236104.94
여의동,2022,3,0,284966.97
여의동,2022,3,10,201768.76
여의동,2022,3,15,329859.1
여의동,2022,3,20,342148.33
여의동,2022,3,25,560125.97
여의동,2022,3,30,517590.79
여의동,2022,3,35,504223.94
여의동,2022,3,40,542324.02
여의동,2022,3,45,446663.51
여의동,2022,3,50,428253.37
여의동,2022,3,55,370372.95
여의동,2022,3,60,376166.38
여의동,2022,3,65,303507.35
여의동,2022,3,70,194384.66
여의동,2022,3,75,179711.4
여의동,2022,3,80,236073.42
여의동,2022,4,0,294881.85
여의동,2022,4,10,230116.82
여의동,2022,4,15,383021.1
여의동,2022,4,20,363123.93
여의동,2022,4,25,620163.65
여의동,2022,4,30,583010.15
여의동,2022,4,35,538213.4
여의동,2022,4,40,587298.81
여의동,2022,4,45,478546.42
여의동,2022,4,50,477949.81
여의동,2022,4,55,421888.87
여의동,2022,4,60,427075.12
여의동,2022,4,65,347677.14
여의동,2022,4,70,218550.94
여의동,2022,4,75,197554.26
여의동,2022,4,80,262450.29
여의동,2023,1,0,235523.66
여의동,2023,1,10,177500.83
여의동,2023,1,15,270416.82
여의동,2023,1,20,237533.78
여의동,2023,1,25,442837.46
여의동,2023,1,30,450573.76
여의동,2023,1,35,428665.11
여의동,2023,1,40,485028.72
여의동,2023,1,45,402048.76
여의동,2023,1,50,400962.63
여의동,2023,1,55,357534.19
여의동,2023,1,60,369755.3
여의동,2023,1,65,308128.88
여의동,2023,1,70,196237.0
여의동,2023,1,75,181809.55
여의동,2023,1,80,244717.86000000002
여의동,2023,2,0,351666.31
여의동,2023,2,10,237642.58
여의동,2023,2,15,358432.86
여의동,2023,2,20,370395.28
여의동,2023,2,25,637531.58
여의동,2023,2,30,591120.15
여의동,2023,2,35,533676.61
여의동,2023,2,40,592983.84
여의동,2023,2,45,467284.59
여의동,2023,2,50,470006.64
여의동,2023,2,55,422845.01
여의동,2023,2,60,447873.51
여의동,2023,2,65,380764.08999999997
여의동,2023,2,70,242460.89
여의동,2023,2,75,223054.88
여의동,2023,2,80,317333.83
여의동,2023,3,0,315054.68
여의동,2023,3,10,224497.79
여의동,2023,3,15,316285.27
여의동,2023,3,20,324784.68
여의동,2023,3,25,582681.3
여의동,2023,3,30,574637.37
여의동,2023,3,35,541197.1
여의동,2023,3,40,618087.8
여의동,2023,3,45,491682.64
여의동,2023,3,50,491299.02
여의동,2023,3,55,411419.0
여의동,2023,3,60,430137.31
여의동,2023,3,65,364165.1
여의동,2023,3,70,231214.47
여의동,2023,3,75,217142.49
여의동,2023,3,80,317458.43
여의동,2023,4,0,309853.23
여의동,2023,4,10,246657.12
