행정동,20대매출_2020억,20대매출_2021억,20대매출_2022억,20대매출_2023억,20대매출_2024억,20대비중_2020%,20대비중_2021%,20대비중_2022%,20대비중_2023%,20대비중_2024%,20대성장률_2019v2020%,20대성장률_2020v2021%,20대성장률_2021v2022%,20대성장률_2022v2023%,20대성장률_2023v2024%
염리동,77.9,86.0,93.9,88.2,78.9,15.14,13.37,12.43,11.15,9.96,,10.4,9.3,-6.2,-10.5
염창동,174.9,199.0,180.9,170.2,145.1,8.83,9.46,8.38,7.76,6.31,,13.8,-9.1,-6.0,-14.8
영등포동,1727.7,1662.5,1735.4,1572.1,1395.8,18.4,16.98,15.23,14.02,12.43,,-3.8,4.4,-9.4,-11.2
영등포본동,209.4,309.6,288.0,496.8,403.5,19.49,17.14,15.83,19.32,16.08,,47.9,-7.0,72.5,-18.8
오금동,145.1,159.4,178.7,166.5,129.6,5.42,5.4,5.71,5.09,4.38,,9.9,12.1,-6.8,-22.2
오류1동,192.2,227.6,197.0,184.1,168.1,15.19,16.19,14.16,12.85,11.84,,18.4,-13.4,-6.5,-8.7
오류2동,66.2,70.3,60.5,51.2,42.6,8.7,8.28,7.27,5.83,4.82,,6.2,-13.9,-15.4,-16.8
오륜동,14.4,15.0,24.7,27.7,24.2,11.27,8.55,11.32,11.73,10.63,,4.3,64.3,12.2,-12.6
옥수동,66.9,37.1,33.3,23.7,22.3,10.66,9.91,7.99,5.59,4.98,,-44.6,-10.4,-28.8,-5.9
왕십리2동,67.7,53.4,52.7,52.0,48.1,19.49,12.22,11.31,10.28,9.16,,-21.0,-1.3,-1.5,-7.4
왕십리도선동,194.2,187.3,204.9,186.7,191.9,17.64,13.48,13.23,11.01,11.57,,-3.6,9.4,-8.9,2.8
용강동,130.9,167.0,161.0,146.5,126.9,6.2,5.75,5.19,4.39,3.57,,27.6,-3.6,-9.0,-13.3
용답동,189.3,147.8,147.0,132.7,119.3,15.96,13.12,11.54,9.98,8.84,,-21.9,-0.6,-9.7,-10.1
용문동,36.5,56.3,56.9,50.6,44.5,5.61,5.74,5.38,4.68,3.89,,54.1,1.1,-11.1,-12.0
용산2가동,89.3,125.4,123.6,109.4,129.9,22.43,23.39,23.41,20.87,23.55,,40.4,-1.5,-11.5,18.7
용신동,272.1,288.4,267.3,229.1,208.7,8.43,7.72,6.87,5.51,4.6,,6.0,-7.3,-14.3,-8.9
우이동,57.2,90.2,78.7,70.4,59.4,7.81,8.25,6.71,5.71,4.77,,57.5,-12.7,-10.6,-15.6
우장산동,114.5,92.3,83.9,70.4,64.0,11.79,8.61,7.31,5.84,5.31,,-19.4,-9.1,-16.1,-9.1
원효로1동,535.1,394.6,325.8,276.3,294.0,7.25,5.71,5.42,5.26,6.29,,-26.3,-17.4,-15.2,6.4
원효로2동,143.7,91.6,65.0,44.5,44.0,3.25,4.21,3.57,2.18,2.03,,-36.3,-29.0,-31.6,-1.0
월계1동,168.7,137.7,156.6,152.9,125.8,22.3,16.83,16.69,15.58,13.54,,-18.4,13.7,-2.3,-17.8
월계2동,17.3,17.1,17.6,14.2,13.9,9.02,7.29,8.36,7.18,6.74,,-0.8,3.0,-19.8,-1.4
월계3동,19.5,27.9,18.0,16.1,14.8,9.52,8.48,5.6,4.93,4.37,,43.1,-35.3,-10.9,-8.1
월곡1동,37.4,60.5,52.9,45.6,35.8,7.44,8.95,7.66,6.4,4.78,,61.9,-12.6,-13.6,-21.5
월곡2동,134.4,144.9,154.7,136.6,119.4,15.15,12.06,12.53,11.33,10.57,,7.8,6.8,-11.7,-12.6
위례동,15.5,28.0,27.3,22.9,19.0,13.52,12.45,9.93,8.21,6.85,,80.5,-2.6,-16.0,-17.2
은천동,181.3,195.6,176.0,159.6,142.0,12.8,12.38,11.19,9.47,9.34,,7.9,-10.0,-9.3,-11.1
을지로동,591.9,764.6,872.3,730.8,658.4,6.43,8.4,8.93,7.95,7.09,,29.2,14.1,-16.2,-9.9
응봉동,2.0,5.6,4.5,4.2,4.6,3.64,5.75,4.32,3.78,4.31,,173.0,-19.8,-6.8,11.1
응암1동,156.3,163.4,169.8,154.0,135.4,10.75,9.96,9.87,8.95,8.11,,4.5,3.9,-9.3,-12.1
응암2동,27.0,42.5,26.0,27.6,20.5,7.7,5.4,4.19,3.74,3.03,,57.3,-38.7,5.9,-25.7
응암3동,182.7,185.8,181.8,157.1,134.3,11.25,10.29,9.88,8.06,6.82,,1.7,-2.2,-13.6,-14.5
이문1동,269.5,252.5,293.8,299.0,273.5,31.47,27.37,28.89,27.0,25.59,,-6.3,16.4,1.8,-8.5
이문2동,26.4,25.4,21.4,19.1,18.6,9.99,8.11,6.77,5.62,5.55,,-3.9,-15.7,-10.9,-2.5
이촌1동,70.8,73.1,68.0,58.5,46.9,5.61,5.36,5.09,4.14,3.45,,3.3,-7.0,-13.9,-19.8
이촌2동,27.1,23.9,13.6,23.1,12.3,12.9,10.83,5.44,7.78,4.94,,-11.8,-43.1,69.4,-46.6
이태원1동,695.1,701.1,994.4,679.4,685.4,31.89,29.51,30.06,23.8,22.99,,0.9,41.8,-31.7,0.9
이태원2동,99.8,143.8,148.3,110.7,105.4,21.98,22.9,21.0,17.09,15.65,,44.1,3.1,-25.4,-4.7
이화동,285.3,278.9,314.8,302.1,260.8,26.61,23.22,22.35,20.34,17.78,,-2.2,12.9,-4.0,-13.7
인수동,58.9,66.9,60.7,46.1,45.5,9.29,8.28,7.26,5.65,5.38,,13.4,-9.2,-24.0,-1.5
