행정동,YQ,연도,분기,총매출,20대매출,20대비중,QoQ_총매출,QoQ_20대매출
상계2동,11,2022,3,93639746430,19506415386,0.20831341529295938,-0.03408316976497039,-0.0038212686141001484
상계2동,12,2022,4,95420109001,18512680048,0.19401235485704577,0.01901289397799588,-0.050944026277284005
상계2동,13,2023,1,89051012603,16085864016,0.18063650873587137,-0.06674794720610988,-0.13108939525275154
상계2동,14,2023,2,91628242817,16010123753,0.17472913657173839,0.028941054555882362,-0.004708498276789097
상계2동,15,2023,3,92151527568,15819019252,0.17166312560936017,0.005710954776739552,-0.01193647868987835
상계2동,16,2023,4,91362394094,15220627919,0.1665962026273081,-0.008563433453858793,-0.03782733451850029
상계2동,17,2024,1,87970947793,13980226814,0.15891867900407491,-0.037120812503125156,-0.08149473934985296
상계2동,18,2024,2,90276314425,14087142527,0.15604472354377463,0.026205999706001126,0.007647637940532803
상계2동,19,2024,3,88152468051,13815947360,0.15672785646803308,-0.023526064256471746,-0.019251254573467658
상계2동,20,2024,4,88087248888,13381364264,0.15191034381166743,-0.000739845003117412,-0.031455178908556536
성수1가2동,1,2020,1,40653884782,4964378012,0.1221132503971192,,
성수1가2동,2,2020,2,48474997675,5781991907,0.11927781710821918,0.19238291580102307,0.16469613978299935
성수1가2동,3,2020,3,41041044665,5955106360,0.14510123727621738,-0.15335643871178384,0.029940279368156464
성수1가2동,4,2020,4,46720346941,5980833407,0.12801346305396222,0.13838103592044626,0.004320165828238798
성수1가2동,5,2021,1,48265202631,6817590772,0.14125271210653048,0.03306601494100403,0.13990648260168137
성수1가2동,6,2021,2,65650285675,9022656713,0.1374351477717313,0.36019911025575646,0.3234377091180445
성수1가2동,7,2021,3,49973649217,7517119787,0.15042167031585982,-0.23879007222614035,-0.16686182062438404
성수1가2동,8,2021,4,64341603456,8801436656,0.13679231140111175,0.28751060737250134,0.17085225530409653
성수1가2동,9,2022,1,52454117711,6925828681,0.13203593889727375,-0.18475582059637752,-0.21310247955047035
성수1가2동,10,2022,2,69641050376,10193299801,0.14636912777686734,0.3276565008621959,0.47178052916091184
성수1가2동,11,2022,3,55606045701,10269726223,0.18468722408749366,-0.2015335007043031,0.007497711584280253
성수1가2동,12,2022,4,58567549051,9675204238,0.16519735578442823,0.05325865762734394,-0.057890733607728784
성수1가2동,13,2023,1,62079374161,8008304847,0.12900105639323667,0.05996196130628473,-0.17228570581002756
성수1가2동,14,2023,2,65631606156,8793028662,0.13397552150559622,0.05722080873089097,0.09798875417360842
성수1가2동,15,2023,3,61344522519,8063260933,0.13144223154565426,-0.06532041325958127,-0.08299389858169892
성수1가2동,16,2023,4,64289934896,8617112527,0.13403517270533338,0.048014268528828064,0.06868828859714649
성수1가2동,17,2024,1,64172433954,7544431255,0.11756498530830214,-0.001827672437218597,-0.12448268125070527
성수1가2동,18,2024,2,70555567076,8740774001,0.12388496561277358,0.09946845909842761,0.15857295342271627
성수1가2동,19,2024,3,56814549777,7929872718,0.13957468199827605,-0.19475454409144854,-0.0927722513941246
성수1가2동,20,2024,4,60737292066,8177101903,0.13463066305482266,0.06904467789319746,0.03117694240398272
성수2가1동,1,2020,1,50578261411,7148897296,0.1413432786451063,,
성수2가1동,2,2020,2,56368125932,8215086731,0.14573993006101205,0.11447337965912752,0.14914040457632005
성수2가1동,3,2020,3,53711931089,8355683483,0.15556475653714139,-0.047122284076009824,0.017114457412780837
성수2가1동,4,2020,4,55298252424,8319183772,0.15044207379670085,0.02953387269527674,-0.00436824959612947
성수2가1동,5,2021,1,46822000526,5137260025,0.10971893484447141,-0.15328245516708627,-0.3824802810234158
성수2가1동,6,2021,2,50593946374,6678409201,0.13200016364866932,0.08055926285989123,0.299994387767047
성수2가1동,7,2021,3,50042464855,6017269146,0.12024326066742061,-0.010900148308719437,-0.09899663753772425
성수2가1동,8,2021,4,73776681837,14025428714,0.19010652640880982,0.4742815337088375,1.3308627840460572
성수2가1동,9,2022,1,72602732384,17269670805,0.2378653011798471,-0.01591220184710518,0.23131143847044333
성수2가1동,10,2022,2,79661072602,15143792858,0.19010279881192302,0.09721865811699804,-0.12309892707303405
성수2가1동,11,2022,3,86119015520,19493410235,0.22635430882826238,0.0810677374414095,0.2872211352720815
성수2가1동,12,2022,4,93902163163,20453790097,0.2178202227513684,0.09037664441475735,0.04926689842476395
성수2가1동,13,2023,1,85895017237,19839438230,0.23097309795350965,-0.08527115517137562,-0.03003608935490676
성수2가1동,14,2023,2,85006644740,21632204855,0.25447663439915696,-0.010342538200426854,0.09036377967038844
성수2가1동,15,2023,3,80772602335,17978577226,0.22258261720273445,-0.04980836989802595,-0.16889760676223964
성수2가1동,16,2023,4,81487247055,20321374413,0.24938103994707347,0.008847612919985481,0.13031048884179364
성수2가1동,17,2024,1,68555658906,12237835044,0.17850948031554756,-0.15869462543349633,-0.397785071261164
성수2가1동,18,2024,2,86114047627,16117731807,0.18716727701400582,0.25611873623846515,0.3170411064579799
성수2가1동,19,2024,3,83550271243,16335971762,0.19552266580305877,-0.029771871775263747,0.01354036396766567
성수2가1동,20,2024,4,83583528481,15707325632,0.18792369642028872,0.00039805062874398445,-0.03848232227373993
