지역_대분류,상권명,연도,임대료,공실률,투자수익률,소득수익률,자본수익률
기타지역,용산역,2023,27.1,8.9,3.12,1.88,1.23
기타지역,용산역,2024,35.1,9.8,5.74,2.01,3.68
기타지역,용산역,2025,37.6,12.0,9.36,2.02,7.23
도심지역,을지로,2020,41.8,5.7,5.7,2.78,2.86
도심지역,을지로,2021,42.5,9.1,7.29,2.57,4.63
도심지역,을지로,2022,51.1,15.1,5.31,2.39,2.87
도심지역,을지로,2023,51.7,21.2,4.39,2.66,1.69
도심지역,을지로,2024,65.1,5.5,,,
도심지역,을지로,2025,65.2,5.5,5.54,2.74,2.74
기타지역,이태원,2020,56.8,26.7,5.2,1.73,3.43
기타지역,이태원,2021,58.3,9.4,7.3,1.94,5.29
기타지역,이태원,2022,57.4,0.0,6.56,2.05,4.44
기타지역,이태원,2023,56.8,0.0,3.25,2.18,1.05
기타지역,이태원,2024,57.5,19.9,5.29,1.79,3.45
기타지역,이태원,2025,58.6,13.6,7.95,1.59,6.29
기타지역,잠실/송파,2020,44.4,12.4,6.74,2.18,4.49
기타지역,잠실/송파,2021,44.4,12.0,7.65,1.94,5.64
기타지역,잠실/송파,2022,44.2,10.4,5.32,1.8,3.47
기타지역,잠실/송파,2023,44.8,11.7,2.82,1.91,0.9
기타지역,잠실/송파,2024,49.6,8.3,3.86,1.86,1.97
기타지역,잠실/송파,2025,50.6,12.5,5.01,1.73,3.24
기타지역,잠실새내역,2020,37.1,10.1,6.9,2.66,4.16
기타지역,잠실새내역,2021,37.4,8.6,7.9,2.42,5.38
기타지역,잠실새내역,2022,36.4,5.8,6.14,2.48,3.59
기타지역,잠실새내역,2023,36.6,5.7,3.45,2.37,1.06
기타지역,잠실새내역,2024,37.6,15.0,5.58,2.17,3.36
기타지역,잠실새내역,2025,38.3,5.3,5.34,2.04,3.25
기타지역,장안동,2020,32.7,11.0,5.48,2.33,3.1
기타지역,장안동,2021,32.5,10.2,7.67,2.35,5.23
기타지역,장안동,2022,36.1,7.5,5.49,2.96,2.47
기타지역,장안동,2023,36.6,7.2,3.08,3.0,0.08
기타지역,장안동,2024,37.3,8.1,4.41,2.8,1.58
기타지역,장안동,2025,37.4,8.1,4.35,2.57,1.75
도심지역,종로,2020,73.1,10.7,5.02,3.19,1.79
도심지역,종로,2021,75.2,10.8,6.52,2.82,3.63
도심지역,종로,2022,78.3,13.5,5.86,2.72,3.08
도심지역,종로,2023,77.4,7.3,4.12,2.91,1.19
도심지역,종로,2024,79.5,6.3,6.08,2.85,3.16
도심지역,종로,2025,79.8,8.5,6.0,2.63,3.3
기타지역,천호,2020,43.8,5.7,7.25,3.21,3.95
기타지역,천호,2021,43.9,6.9,8.16,2.93,5.11
기타지역,천호,2022,47.0,6.1,6.72,2.75,3.89
기타지역,천호,2023,47.2,4.3,4.35,2.83,1.49
기타지역,천호,2024,46.8,7.4,5.71,2.82,2.83
기타지역,천호,2025,47.3,7.8,6.04,2.71,3.26
강남지역,청담,2020,59.1,11.0,6.68,2.8,3.8
강남지역,청담,2021,58.0,9.8,11.11,1.94,9.04
강남지역,청담,2022,59.5,6.1,9.66,1.76,7.8
강남지역,청담,2023,59.7,17.9,4.85,1.69,3.12
강남지역,청담,2024,62.1,12.7,8.26,1.54,6.63
강남지역,청담,2025,64.9,27.4,7.6,1.28,6.26
기타지역,청량리,2020,46.7,4.6,7.13,3.26,3.78
기타지역,청량리,2021,46.6,8.1,7.79,2.69,5.0
기타지역,청량리,2022,45.2,10.0,5.17,2.31,2.82
기타지역,청량리,2023,45.3,7.8,2.8,2.34,0.46
기타지역,청량리,2024,45.7,10.0,5.06,2.33,2.68
기타지역,청량리,2025,46.1,11.1,5.58,2.28,3.25
도심지역,충무로,2020,45.3,6.2,5.15,2.67,2.44
도심지역,충무로,2021,48.9,7.4,5.31,2.57,2.68
도심지역,충무로,2022,48.2,11.1,4.25,2.4,1.81
도심지역,충무로,2023,51.9,7.9,3.08,2.71,0.36
도심지역,충무로,2024,48.8,13.9,,,
도심지역,충무로,2025,48.6,15.0,5.3,2.44,2.82
강남지역,테헤란로,2020,53.9,15.0,6.89,2.87,3.94
강남지역,테헤란로,2021,50.2,7.2,8.86,2.56,6.18
강남지역,테헤란로,2022,48.7,5.7,6.44,2.63,3.73
강남지역,테헤란로,2023,49.4,5.1,4.47,2.67,1.76
강남지역,테헤란로,2024,50.0,6.6,7.76,2.46,5.21
강남지역,테헤란로,2025,51.8,8.9,7.28,2.04,5.16
강남지역,학동/강남구청역,2022,49.6,8.5,5.21,1.75,3.42
강남지역,학동/강남구청역,2023,50.4,12.6,3.91,1.67,2.21
강남지역,학동/강남구청역,2024,53.1,10.6,5.6,1.6,3.95
강남지역,학동/강남구청역,2025,54.0,16.8,6.93,1.32,5.56
기타지역,혜화동,2020,66.8,14.6,4.95,2.5,2.41
기타지역,혜화동,2021,60.8,11.0,6.4,2.16,4.17
기타지역,혜화동,2022,61.7,9.3,5.07,2.27,2.75
기타지역,혜화동,2023,62.9,5.9,3.63,2.41,1.2
기타지역,혜화동,2024,67.7,5.6,6.84,2.56,4.2
기타지역,혜화동,2025,68.2,1.2,6.76,2.54,4.14
영등포신촌지역,홍대/합정,2020,73.3,8.6,5.73,2.88,2.78
영등포신촌지역,홍대/합정,2021,70.5,16.9,7.77,2.22,5.46
영등포신촌지역,홍대/합정,2022,67.0,12.2,6.21,2.64,3.5
영등포신촌지역,홍대/합정,2023,66.4,9.8,3.5,2.78,0.7
영등포신촌지역,홍대/합정,2024,68.4,9.3,4.97,2.55,2.38
영등포신촌지역,홍대/합정,2025,69.2,8.2,6.22,2.42,3.73
기타지역,화곡,2020,34.4,12.5,6.87,3.49,3.29
기타지역,화곡,2021,34.6,15.0,8.99,3.23,5.62
기타지역,화곡,2022,35.3,13.6,6.01,2.96,2.99
기타지역,화곡,2023,35.2,12.7,2.75,3.09,-0.34
기타지역,화곡,2024,35.5,9.4,3.77,3.17,0.58
기타지역,화곡,2025,35.5,14.1,3.74,3.03,0.69
