행정동,주말집중도,2030주말집중도,주말_총인구,평일_총인구,업종점수,2030비중,구역유형
수궁동,1.0249503008285374,1.056363614772878,509849.15333846153,497437.9274061538,0.3569158047349633,0.1879353345781028,주거형
수색동,1.0187077798914206,0.994658154876061,395299.05982307694,388039.6985534066,0.3696903336711257,0.138388456804386,주거형
수서동,0.8646291116468914,0.8605166830078756,496370.92314230767,574085.369618022,0.5038108895430067,0.279167282858276,혼합형
숭인1동,1.0418863428078577,1.1025212566191858,178989.63005384614,171793.81540934066,0.3805012271028413,0.2368101298081495,주거형
숭인2동,1.0325909298952218,1.0627272715170188,313577.5558153846,303680.3314234066,0.5470466669702027,0.2411842019637895,주거형
시흥1동,0.9940037886221855,1.0310975534501055,641098.26055,644965.6106830769,0.3291165835467259,0.1673802115086042,주거형
시흥2동,1.0462491680556154,1.1079725268773755,361451.90632692305,345474.02030307695,0.0798772877067562,0.1449823241111033,주거형
시흥3동,0.93791897888514,1.0055068786137782,214932.8834923077,229159.32861043955,0.3472433975118423,0.1776122926671915,혼합형
시흥4동,1.1000144099792208,1.1595690735829078,259480.68883846153,235888.4451735165,0.3863961061847684,0.2007204500525779,상권형
시흥5동,1.065179511609613,1.1074115904817223,274605.0978576923,257801.70841131866,0.3316186929597616,0.1752042782208631,주거형
신길1동,1.0310242135167877,1.079710476472563,431939.11395384616,418941.7748789011,0.3847034247643828,0.233890146122642,주거형
신길3동,1.0413730935107126,1.085686514813008,319439.45831153844,306748.3309316483,0.2844856481001854,0.1910485218414589,주거형
신길4동,1.0774882918723978,1.0959163072448599,174947.73056923074,162366.24740043955,0.3435200135890098,0.2347608791661762,주거형
신길5동,1.0469604160063382,1.09316661352807,242271.8350923077,231404.96181934065,0.2107944663170972,0.1402897815501443,주거형
신길6동,1.028935597226896,1.0708721099503742,478404.0287923077,464950.41096999997,0.3867151420502526,0.2506517737686172,주거형
신길7동,1.0284277993685724,1.0744943868152699,404881.2254692308,393689.49936769233,0.4493617485878258,0.255721558629267,주거형
신내1동,1.0197317486966222,1.0257858238790845,791645.9696730769,776327.667236923,0.3779121802654248,0.176881172559809,주거형
신내2동,1.0144946239416706,1.027901704551928,378150.1746269231,372747.34207824175,0.2275258310648881,0.1890885852466234,주거형
신당5동,1.0485515395792664,1.125593237752713,176576.50853846152,168400.4093964835,0.5462722620258704,0.260940752583554,주거형
신당동,0.7279210959190997,0.797360683876442,375981.9364807692,516514.68626010994,0.8034706358467995,0.2492477353302252,오피스형
신대방1동,1.0489453771358543,1.0770867263159356,474166.09380384616,452040.7870031868,0.4858289242191265,0.2795462371128008,주거형
신대방2동,0.9462329525896654,0.9658278041730737,549349.1359115385,580564.3677997802,0.6179317841763606,0.2943300351561214,혼합형
신도림동,1.0396201239127993,1.0964774645334623,821789.0240423076,790470.485459011,0.3861816712123747,0.2982821182307236,주거형
신림동,1.0865720318407535,1.1311578371606708,705328.5157384615,649131.8523481318,0.5283738882684652,0.4964221965697106,주거형
신사1동,1.0854850171645305,1.1083737516473755,578409.7489423077,532858.3442387913,0.4072008044266558,0.2359196525615839,주거형
신사2동,1.035059353089291,1.1147318952492624,314448.11077307694,303797.1782338462,0.2148039346215889,0.1460869561059828,주거형
신사동,0.9380617722007444,0.9583557702619382,1241606.7519423077,1323587.4104851647,0.3976068045040782,0.3873398378568771,혼합형
신수동,1.0133671402831999,1.0261346942906897,389619.6664115385,384480.26477615384,0.4036818687619811,0.1954610794030198,주거형
신원동,1.093850426878845,1.13630421901264,393456.2076153846,359698.3627259341,0.369413439254056,0.2152642786599681,주거형
신월1동,1.076824137858149,1.1344244241133523,370712.5511076923,344264.7114551648,0.2986450846644057,0.1689899975684604,주거형
신월2동,1.0616355888704443,1.117651759068989,297272.5466346154,280013.7351752747,0.2484123281484509,0.1359764142969564,주거형
신월3동,1.0137826190862163,1.0563153188925232,314466.7303423077,310191.4793387912,0.372282088657879,0.2042697522258704,주거형
신월4동,1.0529228482665973,1.0846388999066334,287919.2694423077,273447.64140725276,0.4752028917148647,0.1860424950113683,주거형
신월5동,1.0036923395959867,1.1125826506521206,258990.2162153846,258037.4543056044,0.385657187585305,0.1773793289498243,주거형
신월6동,1.0239211021907653,1.0766685681849382,103074.41475769231,100666.36436846154,0.2328944364947876,0.174024609982518,주거형
