행정동코드,연도,분기,연도분기,총_유동인구,남성_유동인구,여성_유동인구,10대미만,10대,20대,30대,40대,50대,60대,70이상,2030_유동인구,2030_유동인구_비중
11110550,2020,2,2020Q2,33143066.8427,15130211.3827,18012855.4188,1679610.5382,3184086.5463,4238748.7353,4070184.5847,5517805.5213,5425329.6161,4077510.723,4949790.536599999,8308933.32,0.250699
11110550,2020,3,2020Q3,32395849.2258,14728228.0357,17667621.2348,1699987.0289,3256698.1579,4005498.4074999997,3967081.124,5470418.149499999,5317225.3032,4021657.103,4657283.9965,7972579.5315,0.246099
11110550,2020,4,2020Q4,33560880.5773,15216735.5245,18344145.0535,1819614.6998,3428491.4693,4176313.2185,4075190.3458000002,5638545.1993,5456877.4166,4225296.1759,4740552.0528,8251503.564300001,0.245867
11110550,2021,1,2021Q1,32282629.2256,14693754.532200001,17588874.6727,1726690.5017,3231625.8507000003,3937338.324,3973153.5264999997,5490738.8419,5231960.9703,4097169.9521000003,4593951.2377,7910491.8505,0.245039
11110550,2021,2,2021Q2,32702195.979,14747337.8974,17954858.062799998,1822917.2754,3589016.4002,3949002.1964999996,4093705.5674,5472705.2658,5179598.9336,4047520.7195,4547729.6018,8042707.7639,0.245938
11110550,2021,3,2021Q3,32332146.209,14752085.8069,17580060.3919,1779884.976,3506934.3921,3860073.3570999997,3978944.3861,5498035.7008,5189684.3272,4026248.7021000003,4492340.3574,7839017.743199999,0.242453
11110550,2021,4,2021Q4,32679500.9677,14743499.632,17936001.3033,1857161.7404999998,3661014.9039000003,4011039.8798,4000709.6107,5399584.3824000005,5268286.8396,4087929.7060000002,4393773.8724,8011749.4905,0.245161
11110550,2022,1,2022Q1,31905468.5083,14467652.775399998,17437815.7056,1763541.2411,3440646.4233,3909394.0012,3881277.1239,5289804.5879999995,5236052.1144,4013965.5553,4370787.4338,7790671.1251,0.24418
11110550,2022,2,2022Q2,34315361.6892,15373624.7691,18941736.8859,1996626.689,4286558.502599999,4622790.5693,4121458.8695,5607181.6146,5231713.7448,4075210.0159,4373821.6493,8744249.4388,0.25482
11110550,2022,3,2022Q3,31606572.6748,14313840.2292,17292732.4786,1829371.7160999998,3632960.2598,3976592.0258,3930365.6783999996,5246620.7991,4911180.6511,3891392.0374,4188089.5401,7906957.7042,0.250168
11110550,2022,4,2022Q4,31388130.0726,14134094.3212,17254035.7572,1867217.7697,3809714.053,4356318.9921,3790194.0239000004,5006045.0665,4852961.3581,3690485.7735,4015193.0416,8146513.016000001,0.259541
11110550,2023,1,2023Q1,29084187.0748,13103942.4195,15980244.670200001,1797027.0759,3440422.2317,3689726.9142,3481626.9525,4632967.9471,4688743.6347,3509908.4304,3843763.9032,7171353.8667,0.246572
11110550,2023,2,2023Q2,30782579.546099998,13791727.304299999,16990852.2883,1978845.7634,4156143.2272,4409962.0775,3583338.3819,4853000.4583,4755996.2466,3384842.4332999997,3660451.0044,7993300.4594,0.25967
11110550,2023,3,2023Q3,30332404.7883,13683803.3354,16648601.4486,2043712.8912,3731698.1465,3853512.9605,3669087.8671,4946555.9033,4832695.1444,3480686.1099,3774455.7611,7522600.8276,0.248005
11110550,2023,4,2023Q4,31164389.6271,14096300.3335,17068089.2611,2046250.7459,3875287.6812,4526862.7165,3677804.2086,5007320.0326000005,4809233.1869,3520300.529,3701330.4939,8204666.925100001,0.263271
