행정동,업종,연도,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,주중_매출_건수,주말_매출_건수,연령대_20_매출_금액,연령대_20_매출_건수,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액
가락2동,노래방,2022,1681050979,16237,1183583082,497467897,10289,5948,51307567,2411,157815122,281183087,198319884,288579789,257685200,309820561,187647336
가락2동,노래방,2023,1820029106,16251,1283905122,536123984,10125,6126,79701016,2557,177440937,282260289,254739884,265569062,303894950,286656663,249467321
가락2동,노래방,2024,1465845599,19212,977152645,488692954,12318,6894,45290686,3802,115301868,238471287,180773140,183822356,258783994,296478505,192214449
가락2동,당구장,2020,87753830,5583,50419125,37334705,3309,2274,9622340,800,8984349,10128229,9680166,9635760,11990621,21537240,15797465
가락2동,당구장,2021,121539239,7221,68049053,53490186,4139,3082,7038628,604,14411891,13509330,12233275,15571419,12323138,30504538,22985648
가락2동,당구장,2022,82340296,5611,50195192,32145104,3418,2193,9043538,703,11002293,7225778,10276629,8965945,12724547,16481086,15664018
가락2동,당구장,2023,104634843,6047,62259557,42375286,3754,2293,7959933,611,11696453,12674357,13037349,11402162,13449236,24526565,17848721
가락2동,당구장,2024,138563317,8497,84245149,54318168,5280,3217,4953780,477,17373089,20821847,15786075,13945081,16319057,25462313,28855855
가락2동,문구,2021,32056047,3533,26773499,5282548,2811,722,2363958,378,4372444,6955589,5759206,5560397,4125863,3398056,1884492
가락2동,문구,2022,30934483,2627,25207593,5726890,2137,490,2899977,364,5489441,5510517,5143805,4200330,4863500,3748612,1978278
가락2동,문구,2023,54000000,11197,36172065,17827935,7652,3545,2595261,1101,7317669,6475193,7796354,6248120,8334729,9041138,8786797
가락2동,문구,2024,72000000,15925,46081017,25918983,11402,4523,3472067,936,8482100,10570854,8780251,7819826,10427986,13945954,11973029
가락2동,미용실,2020,2961473077,73917,1827433540,1134039537,46875,27042,443701028,13029,323487683,345722798,353237161,364178910,440806988,667476281,466563256
가락2동,미용실,2021,3316607819,85054,2037797631,1278810188,52902,32152,496868167,13862,339858501,303064473,447283546,412627721,534963390,758009904,520800284
가락2동,미용실,2022,3505327774,83565,2088959219,1416368555,51081,32484,392174770,11866,370548743,341752425,405989276,419551440,551117335,790528092,625840463
가락2동,미용실,2023,3544843037,77627,2177348603,1367494434,48813,28814,347894966,8935,367866729,336607886,460418948,454637688,557817352,811434549,556059885
가락2동,미용실,2024,2853224491,67152,1795015114,1058209377,42230,24922,177075336,5380,272006159,278819284,388603983,390254317,465331371,643406377,414803000
가락2동,반찬가게,2020,2856771079,132624,2842981167,13789912,131661,963,51559294,3197,670678728,493687772,576565748,422878611,679170308,13754976,34936
가락2동,반찬가게,2021,4816802776,178297,4727702139,89100637,177498,799,46654435,3647,1010736131,962120889,731455691,846112484,1177276944,2335760,86764877
가락2동,반찬가게,2022,5718831025,354007,5142290576,576540449,290365,63642,153440033,25398,1128777504,919451047,1125539683,696910842,1271611500,211581777,364958672
가락2동,반찬가게,2023,6730830090,464649,6027616881,703213209,378827,85822,209100103,33968,1296830025,1406581148,1020823676,1126544770,1176837262,358425640,344787569
가락2동,반찬가게,2024,6484858329,529236,5607324672,877533657,436880,92356,254203584,36202,1095350350,1245428424,1111126929,1011648337,1143770632,488552547,388981110
가락2동,분식전문점,2020,2076152299,235727,1478031568,598120731,174173,61554,281199837,34498,302857612,280898692,300524254,289527861,304223149,304838561,293282170
가락2동,분식전문점,2021,2449113248,288109,1784928584,664184664,217340,70769,291129339,38887,342183375,350991708,359369328,351998859,380385314,363543949,300640715
가락2동,분식전문점,2022,2771792389,284954,1989841466,781950923,213066,71888,282093764,32413,386792470,388495823,395423213,394459067,424670893,437278604,344672319
가락2동,분식전문점,2023,2791177896,277743,2009908712,781269184,208310,69433,249811954,26527,366940290,402920379,409199634,400955257,429893152,477444125,303825059
가락2동,분식전문점,2024,2648984261,262194,1929114702,719869559,195601,66593,173984282,19345,374858466,381856353,362230993,378946443,431222447,446318674,273550885
가락2동,서적,2020,2135335673,88613,1665210032,470125641,65569,23044,96286317,8578,296576389,343316758,429075424,309291501,286949960,248345354,221780287
가락2동,서적,2021,2496456831,92435,1975713153,520743678,68386,24049,75886279,6767,479499669,421541683,376245437,342540837,355885527,291103862,229639816
가락2동,서적,2022,1956585772,75521,1554179216,402406556,56492,19029,64990527,4826,365428031,311170382,325012168,276663683,275904952,233666898,168739658
가락2동,서적,2023,1625826292,64607,1245950630,379875662,47556,17051,38621158,3528,243082742,254289846,339852798,236513486,172211758,181419382,198456280
